node	species
SOWF279-12	Smerinthulus perversa
SARBF2659-16	Smerinthulus perversa
SARBB371-09	Smerinthulus witti
SOWC650-06	Smerinthulus olivacea
SARBF2192-15	Smerinthulus baokimae
SARBB373-09	Smerinthulus cadioui
SARBF2631-16	Smerinthulus baonganae
SPTMC016-11	Smerinthulus laotiana
SARBF267-13	Smerinthulus quadripunctatus
AMAZ1281-12	Pachylia syces
BLPAA4510-17	Pachylia ficusDHJ01
AMAZ243-09	Pachylia ficus
BLPAA13957-18	Pachylia darcetaDHJ02
GWORA1507-08	Pachylia darceta
INCTA571-10	Pachylia darceta
BLPCE741-08	Pachylia darcetaDHJ01
GBGL43087-19	Nephele comma
SPMNP469-22	Nephele leighi
SPMNP466-22	Nephele comoroana
SPPBA568-07	Nephele charoba
CISKC17600-26	Nephele discifera
GWOTV353-17	Nephele accentifera
SPMNP312-07	Nephele accentifera
SPPBA599-07	Nephele densoi
SPMNP276-07	Nephele lannini
CIBFA23099-25	Nephele peneus
SOWD496-06	Nephele oenopion
SOWD512-06	Nephele oenopion
MAMOT865-10	Nephele hespera
ANICC008-08	Nephele hespera
SPRBA618-09	Nephele joiceyi
MGABC554-10	Nephele bipartita
MGABC601-10	Nephele aequivalens
ANICC016-08	Nephele subvaria
LOSA144-05	Nephele funebris
SPPDA465-07	Nephele monostigma
STMHA086-19	Nephele monostigma
LOSA137-05	Nephele argentifera
GWOTV285-17	Nephele rectangulata
SOWD487-06	Nephele xylina
QUNOD324-10	Nephele xylina
QUNOD319-10	Nephele xylina
PMANK004-06	Nephele maculosa
GWOTV229-17	Nephele maculosa
SPPDA468-07	Nephele vau
LOSA145-05	Nephele vau
SPHAF056-21	Centroctena rutherfordi
GNKOA9758-26	Centroctena rutherfordi
SPMNP291-07	Centroctena rutherfordi
SPPDA533-07	Centroctena imitans
HCPN072-03	Megacorma obliqua
SOWD115-06	Rothinjoa leucomelas
SPHPS092-10	Chaerocina meridionalis
SOWE554-07	Chaerocina usambarensis
SOWD027-06	Chaerocina livingstonensis
SPHPS094-10	Chaerocina zomba
SPHPS093-10	Chaerocina nyikiana
SPPBB139-08	Chaerocina dohertyi
SPPDA484-07	Chaerocina dohertyi
SOWE556-07	Chaerocina ellisoni
SPTMA051-07	Chaerocina jordani
SPHPS090-10	Chaerocina mbiziensis
LNOUE002-11	Amphimoea walkeri
BLPAA48969-24	Amphimoea walkeri
SOWD761-07	Likoma apicalis
SPPBA010-07	Likoma crenata
SPPBA810-07	Lophostethus morettoi
SOWE584-07	Lophostethus negus
DBHKM040-12	Cypoides chinensis
SPRBA605-09	Cypoides parachinensis
SOWD822-07	Poliodes roseicornis
SPHAF061-21	Ellenbeckia monospila
BHULP326-22	Clanidopsis exusta
DQGM308-08	Acosmerycoides harterti
SOWD402-06	Acosmerycoides harterti
DMML050-10	Opistoclanis hawkeri
SARBF2636-16	Opistoclanis hawkeri
SOWC201-06	Ceridia mira
LASPB009-11	Ceridia nigricans
SPAFR025-18	Ceridia heuglini
SPAFR024-18	Ceridia agilei
SPTMB681-11	Ceridia agilei
GWOTH571-12	Polyptychus grayii
PMANK025-06	Polyptychus erosus
SPAFR005-18	Polyptychus erosus
SPAFR006-18	Polyptychus erosus
SOWA611-06	Polyptychus erosus
PMSKN084-06	Polyptychus vuattouxi
SOWA613-06	Polyptychus digitatus
SPPBA250-07	Polyptychus niloticus
SPAFR019-18	Polyptychus niloticus
SPAFR020-18	Polyptychus niloticus
MGABC737-10	Polyptychus guessfeldtii
SOWA658-06	Polyptychus claudiae
MAMOT2197-12	Polyptychus dentatus
SPTMB112-10	Polyptychus sonantis
SARBF1740-15	Polyptychus celebensis
SARBA375-08	Polyptychus chinensis
SARBF3782-18	Polyptychus chinensis
SOWA654-06	Polyptychus philippinensis
SPRBA104-08	Polyptychus trilineatus
SPTMB382-10	Polyptychus trilineatus
GWOTV355-17	Polyptychus rougeoti
SOWA657-06	Polyptychus javanicus
GWOTP671-16	Polyptychus retusus
SOWD869-07	Polyptychus retusus
GWOTP668-16	Polyptychus lapidatus
SPMNP330-07	Polyptychus deschampsi
SPTMC223-12	Polyptychus jolyanorum
SPTMC1414-21	Polyptychus jolyanorum
SOWD856-07	Polyptychus baxteri
SPPDA103-07	Polyptychus ferroseus
ANHRT006-20	Polyptychus ferroseus
SPHAF007-21	Polyptychus fractus
SOWC220-06	Polyptychus aurora
SPTMC206-12	Polyptychus jansei
SPHAF002-21	Polyptychus jansei
GWOTV232-17	Polyptychus kitchingi
SUBHB500-15	Polyptychus ducarmei
GWOTV341-17	Polyptychus kivui
MGABD785-11	Polyptychus herbuloti
GWOTV333-17	Polyptychus nigriplaga
SPHAP002-06	Polyptychus murinus
GWOTP672-16	Polyptychus murinus
SOWD909-07	Polyptychus murinus
MGABE958-14	Polyptychus murinus
SPTMB848-11	Polyptychus murinus
PMSKN017-06	Polyptychus hamatus
SOWD924-07	Polyptychus andosa
MGABC578-10	Polyptychus andosa
SPTMC566-12	Polyptychus andosa
ANHRT003-20	Polyptychus andosa
LTOL937-08	Polyptychus andosa
MGABC579-10	Polyptychus andosa
ANHRT002-20	Polyptychus andosa
SPMNP447-09	Polyptychus andosa
SPPDA688-08	Polyptychus andosa
SPPBA175-07	Polyptychus baltus
SPPBB185-09	Polyptychus sinus
GWOTV354-17	Polyptychus bernardii
SPHYE044-08	Polyptychus trisecta
SOWD894-07	Polyptychus enodia
GWOTV374-17	Polyptychus orthographus
MGABC568-10	Polyptychus thihongae
SPMNP427-09	Polyptychus ortomus
SPHAP035-06	Polyptychus coryndoni
GWOTV265-17	Polyptychus lagnelae
ANLMN6810-21	Polyptychus lucindae
MGABB825-10	Polyptychus paupercula
SOWD931-07	Polyptychus hollandi
GWOTV360-17	Polyptychus hollandi
MGABD294-11	Polyptychus hollandi
ANLMN6924-21	Polyptychus smithi
SPTMB686-11	Polyptychus smithi
SPHPS038-10	Polyptychus auriguttatus
ACRJP843-15	Polyptychus marshalli
SPTMC358-12	Polyptychus marshalli
PMSKN041-06	Polyptychus anochus
SPTMC547-12	Polyptychus girardi
BHULP937-22	Notonagemia analis
LEPML379-13	Notonagemia analis
SPTOL167-07	Notonagemia scribae
SAMPA1544-19	Notonagemia hyloicoides
ANICC067-08	Gnathothlibus eras
SPHPS020-10	Gnathothlibus salesnei
SPUEB221-07	Gnathothlibus heliodes
LNAUZ1710-22	Gnathothlibus meeki
SPHPS007-10	Gnathothlibus meeki
SAMPA1546-19	Gnathothlibus meeki
EPNG3378-11	Gnathothlibus rostislavi
SPHPS009-10	Gnathothlibus marionae
SOWB379-06	Gnathothlibus brendelli
SOWB349-06	Gnathothlibus astyanor
SOWB415-06	Gnathothlibus melichari
SOWB382-06	Gnathothlibus dabrera
SPTMC859-13	Gnathothlibus fijiensis
GWOTP702-16	Gnathothlibus erotus
GWOSV037-11	Dolbina formosana
SARBB507-09	Dolbina formosana
AGIRI018-17	Dolbina manjunatha
SPTMA679-09	Dolbina manjunatha
SPTMA665-09	Dolbina inexacta
SARBA016-08	Dolbina luzonensis
SARBA013-08	Dolbina borneensis
SARBB1410-10	Dolbina borneensis
SPTMA659-09	Dolbina krikkeni
SARBE174-11	Dolbina paraexacta
SARBB1411-10	Dolbina schnitzleri
SARBF2399-16	Dolbina elegans
GBAAM33025-25	Dolbina tancrei
SPUEA254-07	Dolbina exacta
SPTMC313-12	Dolbina exacta
MAMOT1169-11	Dolbina grisea
SARBB1405-10	Dolbina mindanaensis
BHULP096-22	Amplypterus panopus
SPHAP042-06	Amplypterus panopus
SPUEA157-07	Amplypterus panopus
GWOTP701-16	Amplypterus panopus
SPUEA139-07	Amplypterus panopus
SPUEA204-07	Amplypterus panopus
SPUEA203-07	Amplypterus panopus
SOWA423-06	Amplypterus mansoni
SOWA428-06	Amplypterus mansoni
SPUEA199-07	Amplypterus mansoni
BHULP095-22	Amplypterus mansoni
SOWA588-06	Pseudoclanis postica
SPUEA877-07	Pseudoclanis postica
SOWF816-24	Pseudoclanis postica
MGABC499-10	Pseudoclanis occidentalis
SSDA071-06	Pseudoclanis canui
MGABC497-10	Pseudoclanis admatha
SPHPS083-10	Pseudoclanis admatha
SOWA595-06	Pseudoclanis tomensis
LOSA189-05	Pseudoclanis molitor
SOWD838-07	Pseudoclanis molitor
SPTMA633-09	Pseudoclanis molitor
SPTMA642-09	Pseudoclanis molitor
SPBIS217-09	Pseudoclanis molitor
SPPBA093-07	Pseudoclanis molitor
SOWF818-24	Pseudoclanis bianchii
SOWF819-24	Pseudoclanis bianchii
SOWF817-24	Pseudoclanis solennae
SOWA243-06	Orecta lycidas
LEPAR208-11	Orecta lycidas
SOWF161-12	Orecta tithonus
BLPDV1644-18	Orecta venedictoffae
SOWA242-06	Orecta titana
SPUEA128-07	Orecta titana
GWOTP760-16	Orecta acuminata
LNC127-05	Isoparce cupressi
ANICC018-08	Coequosa australasiae
ANICC046-08	Coequosa triangularis
SPPBA013-07	Gynoeryx meander
SPMNP094-07	Gynoeryx meander
SPPBA012-07	Gynoeryx meander
SPBIS179-09	Gynoeryx teteforti
LASPB015-11	Gynoeryx bilineatus
SPPBA040-07	Gynoeryx brevis
LASPB010-11	Gynoeryx brevis
SPTMC1130-14	Gynoeryx brevis
SPTMC1125-14	Gynoeryx brevis
SPTMC1136-14	Gynoeryx integer
LASPB013-11	Gynoeryx paulianii
SOWD303-06	Oligographa juniperi
SAMPA924-18	Oligographa juniperi
GWOTO051-15	Macropoliana natalensis
SPAFR045-18	Macropoliana natalensis
LTOL248-07	Macropoliana buchholzi
SUBHB480-15	Macropoliana berioi
SOWD123-06	Macropoliana ferax
SPTMB374-10	Macropoliana gessi
SPTMC1023-13	Macropoliana kernbachi
SOWD124-06	Macropoliana cadioui
SPTMC784-13	Macropoliana bertii
ANICC081-08	Cerberonoton severina
SOWD181-06	Cerberonoton rubescens
LEPPK146-17	Cerberonoton rubescens
SOWD176-06	Cerberonoton rubescens
SPTMB473-10	Cerberonoton rubescens
SPTMB475-10	Cerberonoton rubescens
SARBE1339-13	Callambulyx sichangensis
SPTMA415-07	Callambulyx tatarinovii
GBAAM31842-25	Callambulyx tatarinovii
SPUEB308-07	Callambulyx tatarinovii
SPTOL110-07	Callambulyx tatarinovii
GBGL14425-14	Callambulyx tatarinoviii
SARBB1099-09	Callambulyx schintlmeisteri
SARBB1104-09	Callambulyx diehli
BHULP241-22	Callambulyx poecilus
SPUEB346-07	Callambulyx poecilus
SARBB1095-09	Callambulyx kitchingi
LEPPK130-17	Callambulyx amanda
SOWA698-06	Callambulyx amanda
SOWA687-06	Callambulyx sinjaevi
SOWA692-06	Callambulyx rubricosa
GBAAX61781-24	Callambulyx rubricosa
SARBB1089-09	Callambulyx junonia
ANLMN6816-21	Pantophaea favillacea
SOWD276-06	Pantophaea favillacea
SPAFR067-18	Pantophaea favillacea
SPPDA169-07	Pantophaea favillacea
LASPB002-11	Pantophaea suffuscus
SPAFR063-18	Pantophaea jordani
SPAFR061-18	Pantophaea oneili
SPHPS057-10	Pantophaea scheveni
SPTMC1031-13	Pantophaea scheveni
SPPDA345-07	Odontosida pusillus
GWOTS845-19	Odontosida magnificum
SARBF2256-15	Sataspes tagalica
SPRBA857-09	Sataspes tagalica
SPUEB214-07	Sataspes javanica
SARBF2257-15	Sataspes caerulea
SARBF2258-15	Sataspes infernalis
BHULP1188-22	Sataspes infernalis
MAMOT1012-11	Sataspes scotti
SOWC496-06	Sataspes ribbei
GWOTP707-16	Sataspes leyteana
SARBB1275-09	Sataspes negrosiana
SOWC502-06	Sataspes cerberus
MAMOT2036-12	Agnosia orneus
SPTMC119-12	Agnosia orneus
SPTMC116-12	Agnosia microta
BLPAA12238-18	Enyo lugubris
SOWC412-06	Enyo latipennis
BLPAA12237-18	Enyo gorgon
SARBF4518-20	Enyo bathus
ABLCV045-09	Enyo ocypete
MHASB408-06	Enyo caviferDHJ02
SARBF4500-20	Enyo cavifer
SPTVA619-07	Enyo cavifer
SOWC400-06	Enyo cavifer
MHASB313-06	Enyo caviferDHJ01
LPCOA2801-20	Enyo taedium
ACGIN097-11	Erinnyis elloDHJ01
ABLCV033-09	Erinnyis elloDHJ02
ABLCV029-09	Erinnyis alope
BLPDL1653-10	Erinnyis yucatana
BLPAA6815-17	Erinnyis lassauxii
AMAZ229-09	Erinnyis oenotrus
LPANT182-21	Erinnyis obscura
SOWB304-06	Erinnyis obscura
BLPAA18840-20	Erinnyis crameri
SARBC644-10	Erinnyis cubensis
SARBC646-10	Erinnyis guttularis
SARBF4515-20	Erinnyis impunctata
SOWB207-06	Isognathus rimosa
BLPAA13254-18	Isognathus rimosa
SOWB203-06	Isognathus rimosa
SARBF2726-16	Isognathus rimosa
SOWB205-06	Isognathus rimosa
AMAZ221-09	Isognathus scyron
CGCM394-08	Isognathus allamandae
GWORO118-09	Isognathus leachii
LNOUF427-11	Isognathus excelsior
LNOUB506-10	Isognathus occidentalis
SPMNP481-22	Isognathus mossi
AMAZ282-09	Isognathus caricae
SOWB247-06	Isognathus menechus
SOWB250-06	Isognathus brasiliensis
GWORA1525-08	Isognathus swainsonii
LNOUE491-11	Isognathus swainsonii
SOWB234-06	Isognathus swainsonii
INCTA577-10	Isognathus swainsonii
ABLCV050-09	Eumorpha satellitiaDHJ02
BLPAA13031-18	Eumorpha boivini
ACINB185919-23	Eumorpha labruscae
SOWB053-06	Eumorpha drucei
SOWB042-06	Eumorpha mirificatus
SOWB092-06	Eumorpha satellitia
SOWB110-06	Eumorpha satellitia
LPCOA2875-20	Eumorpha satellitia
MHMXW719-09	Eumorpha fasciatus
LNOA1208-17	Eumorpha analis
LNOA1201-17	Eumorpha analis
BCIOM129-19	Eumorpha satellitiaDHJ01
CSSPH094-08	Eumorpha intermedia
BLPEF1947-13	Eumorpha megaeacus
SAMPA2161-21	Eumorpha megaeacus
SOWB119-06	Eumorpha translineatus
CMAZA837-10	Eumorpha typhon
BLPAA6821-17	Eumorpha obliquusDHJ02
BLPAA12261-18	Eumorpha obliquusDHJ03
CBIHI050-17	Eumorpha obliquus
CBIHI049-17	Eumorpha obliquus
SATWB117-08	Eumorpha orientis
SOWB065-06	Eumorpha adamsi
LEPAR092-11	Eumorpha neubergeri
SOWB125-06	Eumorpha elisa
SARBF4506-20	Eumorpha cissi
SARBF4508-20	Eumorpha cissi
SARBF4507-20	Eumorpha cissi
ACINB185718-23	Eumorpha cissi
AMAZ244-09	Eumorpha anchemolus
BLPCE010-08	Eumorpha anchemolusDHJ01
SOWB043-06	Eumorpha strenua
JRLAA010-09	Eumorpha pandorus
BBLOB689-11	Eumorpha vitisDHJ02
AMAZ258-09	Eumorpha vitis
ACINB186181-23	Eumorpha vitis
BLPAA12262-18	Eumorpha triangulum
SOWB083-06	Eumorpha triangulum
BBLWU297-09	Eumorpha achemon
LNOUE485-11	Eumorpha phorbas
BLPAD846-06	Eumorpha phorbas
AMAZ279-09	Eumorpha capronnieri
LOSU044-06	Madoryx plutonius
SAMPA2474-22	Madoryx plutonius
BLPAA27331-21	Madoryx dentatus
LPCOA662-19	Madoryx dentatus
BLPAA14054-18	Madoryx oiclus
SPZSM140-08	Madoryx oiclus
SPBRI647-08	Madoryx bubastus
LEPAR850-11	Madoryx bubastus
BLPAA39406-23	Madoryx bubastusDHJ01
MHACG562-04	Madoryx bubastusDHJ02
CNCLB2344-14	Madoryx pseudothyreus
SPPBA334-07	Lomocyma oegrapha
BHULP500-22	Enpinanga assamensis
SARBF271-13	Enpinanga borneensis
GWOTB270-12	Enpinanga vigens
CNCLA563-13	Amorpha juglandis
CNCLB4200-17	Amorpha juglandis
BBLOD1832-11	Amorpha juglandis
GBAAZ69326-26	Amorpha juglandis
BLPAA6816-17	Pachygonidia drucei
MHASB413-06	Pachygonidia hopfferi
SARBE919-12	Pachygonidia hopfferi
SARBE956-12	Pachygonidia martini
SPCMA082-09	Pachygonidia mielkei
SARBF988-14	Pachygonidia caliginosa
BLPAA40147-23	Pachygonidia ribbei
SARBE916-12	Pachygonidia odile
BLPAA12235-18	Pachygonidia subhamata
CRATD30170-24	Pachygonidia Malaise3157
SPTMC296-12	Rethera komarovi
SOWD531-06	Rethera komarovi
SOWD532-06	Rethera komarovi
SPTMC291-12	Rethera komarovi
SARBF2626-16	Rethera brandti
ABLCV063-09	Euproserpinus phaeton
SOWE569-07	Parum colligata
MHACG884-05	Kloneus babayaga
SPHJT070-10	Zacria vojtechi
ANICC043-08	Imber tropicus
ABLCW383-10	Arctonotus lucidus
SPTMC166-12	Afrosphinx amabilis
ABOLE146-24	Proserpinus proserpina
ABLCW387-10	Proserpinus flavofasciata
ABLCV058-09	Proserpinus clarkiae
RDNMG316-08	Proserpinus juanita
ABLCV057-09	Proserpinus vega
SOWD693-06	Proserpinus terlooii
SPHJT020-09	Proserpinus terlooii
SPHJT057-10	Proserpinus gaurae
LASPB052-11	Sphingonaepiopsis nana
PMANK170-06	Sphingonaepiopsis nana
SPTMA143-07	Sphingonaepiopsis pumilio
CWLMA254-15	Sphingonaepiopsis obscurus
LEASS285-16	Sphingonaepiopsis gorgoniades
SARBF3621-18	Sphingonaepiopsis kuldjaensis
SARBF2401-16	Sphingonaepiopsis gurkoi
ASMIJ37451-24	Hippotion celerio
LOSA122-05	Hippotion rosae
SPTMA195-07	Hippotion rosae
SOWC913-06	Hippotion socotrensis
SOWD654-06	Hippotion dexippus
SPTMA196-07	Hippotion moorei
MGABC746-10	Hippotion osiris
CWLMA083-14	Hippotion saclavorum
SPMNP077-07	Hippotion melichari
SOWD671-06	Hippotion griveaudi
SPPBA700-07	Hippotion batschii
SOWD681-06	Hippotion stigma
SOWD682-06	Hippotion adelinae
SPBIS244-09	Hippotion aurora
ANIC316-06	Hippotion velox
SOWD061-06	Hippotion aporodes
GWOTV342-17	Hippotion irregularis
SPHAF063-21	Hippotion irregularis
AMWW022-11	Hippotion scrofa
SOWD673-06	Hippotion paukstadti
GWOTO061-15	Hippotion balsaminae
SOWD055-06	Hippotion brunnea
ANICC092-08	Hippotion johanna
SPTMB498-11	Hippotion brennus
SPTMB491-11	Hippotion brennus
SPTMC1199-14	Hippotion brennus
DBHKM028-12	Hippotion rafflesii
GWOTS840-19	Hippotion roseipennis
SOWC889-06	Hippotion psammochroma
BHULP678-22	Hippotion rosetta
SOWD607-06	Hippotion echeclus
ABLCV034-09	Pseudosphinx tetrio
ACRJP885-15	Basiothia medea
SPHAP027-06	Basiothia charis
GWOTG691-12	Basiothia schenki
SPPDA478-07	Basiothia aureata
SPPBA637-07	Basiothia laticornis
CIWSA4556-26	Atemnora westermannii
MGABD909-11	Atemnora cadioui
SOWD368-06	Neogene curitiba
CGCM396-08	Neogene dynaeus
SOWD358-06	Neogene dynaeus
SPAFR092-18	Neogene steinbachi
LEPAR085-11	Neogene reevei
SOWC918-06	Lintneria lugens
SOWE332-07	Lintneria biolleyi
CSSPH096-08	Lintneria eremitus
SOWA323-06	Lintneria tricolor
SOWA330-06	Lintneria porioni
ABLCV011-09	Lintneria merops
CSSPH098-08	Lintneria eremitoides
SOWA313-06	Lintneria maura
LNOA1260-17	Lintneria maura
SOWA319-06	Lintneria aurigutta
SOWA338-06	Lintneria geminus
SOWA337-06	Lintneria pseudostigmatica
SPTMC126-12	Lintneria balsae
SOWA373-06	Lintneria praelongus
ABLCV012-09	Lintneria istar
SOWA324-06	Lintneria xantus
SOWA366-06	Lintneria separatus
SOWC944-06	Lintneria smithi
SOWE244-07	Lintneria justiciae
LNCB911-10	Dolba hyloeus
SPPBB144-08	Antinephele achlora
SPPBB107-08	Antinephele achlora
SPPBB108-08	Antinephele achlora
SUBHB2194-22	Antinephele achlora
GNGBA12706-26	Antinephele bouyeri
SPPBA415-07	Antinephele camerounensis
SUBHB587-16	Antinephele camerounensis
CIBFA12751-25	Antinephele anomala
SOWD249-06	Antinephele marcida
SUBHB657-16	Antinephele muscosa
SPPDA353-07	Antinephele lunulata
SPPDA651-07	Antinephele lunulata
LASPB001-11	Antinephele lunulata
SPPBA403-07	Antinephele lunulata
SOWD252-06	Antinephele maculifera
SUBHB2033-20	Antinephele efulani
MOGAF896-14	Daphnis nerii
SPMNP069-07	Daphnis kitchingi
GWOTP696-16	Daphnis vriesi
CATS438-10	Daphnis moorei
SOWB392-06	Daphnis layardii
ANICC179-08	Daphnis placida
ANICC183-08	Daphnis protrudens
SOWB397-06	Daphnis hayesi
EPNG7976-12	Daphnis dohertyi
BHULP417-22	Daphnis hypothous
SPTMA925-09	Daphnis hypothous
SPTMA074-07	Daphnis torenia
ABLCV037-09	Pachylioides resumens
BCIOM363-21	Oryba achemenides
SOWB925-06	Oryba kadeni
BBLOB1628-11	Darapsa myron
SOWB343-06	Darapsa myron
BBLOB1686-11	Darapsa choerilus
LGSM085-04	Darapsa versicolor
GBAAM32167-25	Ampelophaga rubiginosa
BHULP093-22	Ampelophaga khasiana
SPTOL084-07	Clarina syriaca
SPUEB226-07	Clarina kotschyi
ANLMN6786-21	Temnora trapezoidea
SOWD481-06	Temnora palpalis
SPMNP071-07	Temnora palpalis
SPHAF047-21	Temnora orientalis
SPMNP470-22	Temnora marginata
LOSA173-05	Temnora murina
MGABC577-10	Temnora eranga
SPPDA364-07	Temnora wollastoni
SPPDA649-07	Temnora atrofasciata
SPPBA487-07	Temnora engis
SUBHB1066-17	Temnora rattrayi
MGABC521-10	Temnora fumosa
SPPBA521-07	Temnora fumosa
SPMNP315-07	Temnora fumosa
ANLMN6882-21	Temnora albilinea
SOWD542-06	Temnora ntombi
SUBHB1061-17	Temnora ntombi
SAKZB3343-22	Temnora namaqua
ANLMN6898-21	Temnora stevensi
SAMPA2174-21	Temnora stevensi
SUBHB2269-22	Temnora stevensi
MGABC560-10	Temnora prokopci
MGABC563-10	Temnora prokopci
SOWD571-06	Temnora scitula
SPPBB119-08	Temnora scitula
TBMOT1453-11	Temnora scitula
SPHAF050-21	Temnora scitula
ANLMN6911-21	Temnora radiata
SUBHB527-15	Temnora occidentalis
SPHAF042-21	Temnora occidentalis
SPTMA537-09	Temnora hollandi
SPPBA428-07	Temnora zantus
ANLMN6778-21	Temnora zantus
SALVA025-22	Temnora zantus
MGABC532-10	Temnora funebris
SSDA016-06	Temnora dierli
MGABC558-10	Temnora camerounensis
SPTMB538-11	Temnora arida
SOWD573-06	Temnora pylades
SOWD465-06	Temnora leptis
SAMPA2168-21	Temnora leptis
GWOTD828-12	Temnora pylas
LASPB008-11	Temnora nitida
SPMNP243-07	Temnora natalis
MGABC534-10	Temnora crenulata
SPPBA436-07	Temnora curtula
SPHPS045-10	Temnora kaguru
SPHPS044-10	Temnora burdoni
SSDA083-06	Temnora masungai
SPHPS048-10	Temnora uluguru
SPHPS043-10	Temnora rungwe
MGABC458-10	Temnora livida
SOWD551-06	Temnora robertsoni
SPMNP084-07	Temnora peckoveri
SOWD484-06	Temnora inornatum
SPHAP033-06	Temnora sardanus
SPPBA474-07	Temnora argyropeza
MGABC606-10	Temnora griseata
GWOTV327-17	Temnora griseata
ANLMN6908-21	Temnora griseata
SSDA136-06	Temnora griseata
SOWD473-06	Temnora nephele
SPPDA369-07	Temnora elegans
SPHAP026-06	Temnora elegans
SSDA596-07	Temnora rotundus
SPPBA439-07	Temnora angulosa
SPMNP070-07	Temnora grandidieri
SPPDA378-07	Temnora subapicalis
SUBHB1618-20	Temnora subapicalis
MGABC575-10	Temnora spiritus
SPTMA541-09	Temnora spiritus
SPPBB114-08	Temnora scheveni
MGABD830-11	Temnora iapygoides
SPMNP144-07	Temnora avinoffi
GWOTV296-17	Temnora elisabethae
EPNG10592-18	Macroglossum corythus
BHULP812-22	Macroglossum corythus
SOWE154-07	Macroglossum kitchingi
GWOTP749-16	Macroglossum arimasi
SOWE106-07	Macroglossum multifascia
SPTMA726-09	Macroglossum schnitzleri
SPTMA769-09	Macroglossum haslami
GWOTP740-16	Macroglossum aquilaMM01
SPTMA849-09	Macroglossum obscura
SPTMA800-09	Macroglossum melanoleuca
SOWE141-07	Macroglossum wackenheimi
SPTMA779-09	Macroglossum aquila
CWLMA078-14	Macroglossum sitiene
SOWF242-12	Macroglossum neotroglodytus
LTOL260-07	Macroglossum hirundo
SPTMA857-09	Macroglossum hirundo
SOWE118-07	Macroglossum hirundo
SPTMA920-09	Macroglossum moecki
SPTMA598-09	Macroglossum insipida
SOWD734-06	Macroglossum insipida
SPTMB056-09	Macroglossum insipida
SPTMA567-09	Macroglossum limata
SPTMA568-09	Macroglossum limata
LBEOA1893-12	Macroglossum sylvia
SOWD757-06	Macroglossum semifasciata
SPTMB209-10	Macroglossum semifasciata
SOWF073-11	Macroglossum nigellum
SPTMA912-09	Macroglossum nigellum
GWOSV030-11	Macroglossum UB01
GBAAM32428-25	Macroglossum saga
SOWE129-07	Macroglossum hemichroma
DBHKM026-12	Macroglossum passalus
GBCAB42906-24	Macroglossum passalus
SPTMC1151-14	Macroglossum buruensis
DBHKM025-12	Macroglossum pyrrhostictum
SOWD706-06	Macroglossum variegatum
SOWD707-06	Macroglossum variegatum
SOWD735-06	Macroglossum quasivariegatum
SOWD753-06	Macroglossum tenebrosa
ANICC167-08	Macroglossum tenebrosa
SPTMA771-09	Macroglossum caldum
SPTMC899-13	Macroglossum poecilum
SOWE110-07	Macroglossum vicinum
INSPH083-19	Macroglossum alenuska
SPTMA917-09	Macroglossum stevensi
SPTMA860-09	Macroglossum amoenum
SPTMB322-10	Macroglossum pyrrhosticta
LBEOA1888-12	Macroglossum pyrrhosticta
SPTMB317-10	Macroglossum pyrrhosticta
SPTMB318-10	Macroglossum pyrrhosticta
SPTMB323-10	Macroglossum pyrrhosticta
LBEOA1892-12	Macroglossum gyrans
SPTMA687-09	Macroglossum gyrans
GBAAQ6511-25	Macroglossum gyrans
LBEOA1895-12	Macroglossum gyrans
GBAAN31074-25	Macroglossum gyrans
EPNG3373-11	Macroglossum melas
SOWE138-07	Macroglossum reithi
SPTMA832-09	Macroglossum haxairei
DQGM314-08	Macroglossum mitchellii
SARBB392-09	Macroglossum mediovitta
SOWE152-07	Macroglossum mediovitta
SPTMC1285-18	Macroglossum mediovitta
ANICH125-10	Macroglossum dohertyi
CIDTA14289-25	Macroglossum trochilus
LSAFR1877-12	Macroglossum trochilus
SOWD695-06	Macroglossum affictitia
EPNG10591-18	Macroglossum nubilum
SPTMA392-07	Macroglossum clemensi
GWORA198-08	Macroglossum vacillans
GBAAM17342-25	Macroglossum stellatarum
SAMPA791-18	Macroglossum pachycerus
SPTMA886-09	Macroglossum claudepierreae
SPTMA753-09	Macroglossum lepidum
INSPH089-19	Macroglossum limatoides
SOWE102-07	Macroglossum cadioui
GBCAB38080-24	Macroglossum bombylans
DQGM208-08	Macroglossum fritzei
SPTMA727-09	Macroglossum avicula
SOWE134-07	Macroglossum faro
LBEOA1885-12	Macroglossum faro
SPTMA838-09	Macroglossum faro
SPTMB285-10	Macroglossum faro
SPTMB286-10	Macroglossum faro
SPTMA825-09	Macroglossum glaucoptera
SPTMA840-09	Macroglossum augarra
ANICC062-08	Macroglossum joannisi
SPHJT097-10	Macroglossum alcedo
SOWD713-06	Macroglossum milvus
SPHAP062-06	Macroglossum assimilis
SPTMA606-09	Macroglossum nemesis
SPPBA561-07	Macroglossum aesalon
SPPBA540-07	Macroglossum aesalon
HCPN010-03	Macroglossum stigma
ANIC324-06	Macroglossum micacea
SAMPA804-18	Macroglossum lifuensis
SPTMA797-09	Macroglossum meeki
STMHA072-19	Macroglossum albigutta
SOWE123-07	Macroglossum prometheus
SOWE120-07	Macroglossum prometheus
SPHJT079-10	Macroglossum prometheus
GBAAX12202-24	Macroglossum nycteris
SOWF081-11	Macroglossum sulai
BLPAA23133-20	Stolidoptera tachasara
SARBE470-12	Stolidoptera tachasara
DBFCI303-15	Himantoides undata
